% Xfiducial, Yfiducial=(  4.280  50.000), ( 95.720  50.000), ( 50.000  95.720), ( 66.256   7.267) mm 
% Sample, x(mm), y(mm), dx(mm), dy(mm), A(fraction), B(fraction), C(fraction), D(fraction), E(fraction), F(fraction), G(fraction), H(fraction), code(0=sample; 1=spectral reference; 2=ABCD control; 3=EFGH control) 
55.0,72.127,85.683,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
56.0,25.391,83.651,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
57.0,27.423,83.651,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
58.0,29.455,83.651,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
59.0,31.487,83.651,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
60.0,33.519,83.651,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
61.0,35.551,83.651,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0
62.0,37.583,83.651,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
63.0,39.615,83.651,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
64.0,41.647,83.651,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
65.0,43.679,83.651,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
66.0,45.711,83.651,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
67.0,47.743,83.651,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
68.0,49.775,83.651,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
69.0,51.807,83.651,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0
70.0,53.839,83.651,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
71.0,55.871,83.651,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
72.0,57.903,83.651,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
73.0,59.935,83.651,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
74.0,61.967,83.651,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
75.0,63.999,83.651,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
76.0,66.031,83.651,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
77.0,68.063,83.651,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0
78.0,70.095,83.651,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
79.0,72.127,83.651,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
80.0,74.159,83.651,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
81.0,21.327,81.619,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
82.0,23.359,81.619,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
83.0,25.391,81.619,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
84.0,27.423,81.619,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
85.0,29.455,81.619,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
86.0,31.487,81.619,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
87.0,33.519,81.619,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
88.0,35.551,81.619,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0
89.0,37.583,81.619,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
90.0,39.615,81.619,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
91.0,41.647,81.619,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
92.0,43.679,81.619,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
93.0,45.711,81.619,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
94.0,47.743,81.619,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
95.0,49.775,81.619,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
96.0,51.807,81.619,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0
97.0,53.839,81.619,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
98.0,55.871,81.619,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
99.0,57.903,81.619,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
100.0,59.935,81.619,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
101.0,61.967,81.619,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
102.0,63.999,81.619,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
103.0,66.031,81.619,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
104.0,68.063,81.619,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0
105.0,70.095,81.619,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
106.0,72.127,81.619,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
107.0,74.159,81.619,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
108.0,76.191,81.619,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
109.0,78.223,81.619,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
110.0,19.295,79.587,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0
111.0,21.327,79.587,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
112.0,23.359,79.587,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
113.0,25.391,79.587,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
114.0,27.423,79.587,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
115.0,29.455,79.587,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
116.0,31.487,79.587,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
117.0,33.519,79.587,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
118.0,35.551,79.587,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0
119.0,37.583,79.587,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
120.0,39.615,79.587,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
121.0,41.647,79.587,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
122.0,43.679,79.587,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
123.0,45.711,79.587,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
124.0,47.743,79.587,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
125.0,49.775,79.587,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
126.0,51.807,79.587,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.0
127.0,53.839,79.587,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
128.0,55.871,79.587,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
129.0,57.903,79.587,1.016,1.016,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.0
